image,description,category,price
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/u/s/usa_fem.png,USA Collection Feminised Seeds ,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/t/a/taster_fem.png,Taster Collection Feminised Seeds ,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/e/relax_fem.png,Relax Collection Feminised Seeds ,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/l/classic_fem.png,Classic Collection Feminised Seeds,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/h/i/hithc_fem.png,High THC Collection Feminised Seeds,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/e/beginner_fem_2.png,Beginner Collection Feminised Seeds ,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/u/s/usa_auto.png,USA Collection Auto Feminised Seeds,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/t/a/taster_auto.png,Taster Collection Auto Feminised Seeds ,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/r/e/relax_auto.png,Relax Collection Auto Feminised Seeds ,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/c/l/classic_auto.png,Classic Collection Auto Feminised Seeds ,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/h/i/hithc_auto_1.png,High-THC Collection Auto Feminised Seeds ,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/b/e/beginner_auto_1.png,Beginner Collection Auto Feminised Seeds ,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/e/feminised-collection-6_j2yntbb9eczkvylt.jpg,Collection #6 Feminised Seeds - 6,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/u/auto-collection-5_rjvs52f4by59hd9z.jpg,Collection #5 Auto Feminised Seeds - 6,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/u/auto-mix_1_fsjjx5hvddbzribo.jpg,Automatik Mix Auto Feminised Seeds - 10,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/i/mix_auto_8rg9z5kadtv6hu7i.jpg,Mixed Auto Feminised Seeds,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/a/u/auto-collection-4_do6ut8ejhdmj5377.jpg,Automatik Collection #4 Auto Feminised Seeds - 6,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/e/female-collection-4_ivtxy1uq2jj4zobv.jpg,Female Collection #4 Feminised Seeds - 6,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/v/a/var.-afghanica-afghan-mix_xmuybibzjfxj8kpw.jpg,Afghan Mix Regular Seeds,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/e/feminised-collection-5_shpkgklgxke3vwir.jpg,Collection #5 Feminised Seeds - 6,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/m/k/mk-ultra-mind-control-set_znidqezyyrlzm4fb.jpg,MK Ultra Mind Control Box Feminised Seeds - 15,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/2/5/25th-anniversary-box_8coa39rwfmi5ndc4.jpg,TH Seeds 25th Anniversary Boxed Set,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/d/n/dna_6uypubgjhqrl6wcf.jpg,Reserva Privada Mixed Pack Feminised Seeds,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/g/r/grateful-casey_1_xjr5o5xz39k5ljwk.jpeg,Grateful Casey Jones Mix Pack Feminised Seeds - 20,Strain Collections,27.50
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/f/r/fruity-autoflower-mix_9683_1__mzfkvzbos0dppl0j.jpg,Fruity Mix Auto Feminised Seeds - 9,Strain Collections,31.90
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/n/e/new-usa-auto-mix_n5wmkxlpnecqsnwg.jpg,USA Mix Auto Feminised Seeds - 9,Strain Collections,31.90
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/n/e/new-cbd-rich-mix_tczwfpt4isiw0pht.jpg,Rich Mixed CBD Feminised Seeds - 9,Strain Collections,37.40
https://www.seedsman.com/media/catalog/product/cache/a195cd3006b0e987d70159e36cf9a304/w/h/white_widow_2_pzygrkepdxhqirl8.jpg,Indoor Mix Feminised Seeds,Strain Collections,37.40
